product,Link
لپ تاپ ایسوس fx506hc  | 16gb ram | 1tb ssd | i5 | 4gb vga ا laptop asus fx506hc,https://torob.com/p/aaf73906-503e-47ee-9b64-555a267e9de8/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-fx506hc-16gb-ram-1tb-ssd-i5-4gb-vga/
لپ تاپ ایسوس g513rm | 16gb ram | 1tb ssd | ryzen 7 6800h | vga 3060 6gb ا laptop asus g513rm,https://torob.com/p/9893d1e1-a06a-4405-95e4-e889d1eccf59/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-g513rm-16gb-ram-1tb-ssd-ryzen-7-6800h-vga-3060-6gb/
لپ تاپ لمسی ایسوس زنبوک asus zenbook flip q508ug r7 5700u 8gb 256gbssd mx450 ا asus zenbook flip15 q508ug ryzen7 5700u ram8gb 256gbssd mx450,https://torob.com/p/262bdda4-38df-4244-a045-09554dafad8e/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%85%D8%B3%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D8%B2%D9%86%D8%A8%D9%88%DA%A9-asus-zenbook-flip-q508ug-r7-5700u-8gb-256gbssd-mx450/
لپ تاپ گیمینگ ایسوس راگ rog strix g16 g614ji i9 13980hx rtx4070 140w 16g 1t 2023,https://torob.com/p/4d0c5006-ae8a-4de6-86f2-bc061fe8aca8/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%DA%AF%DB%8C%D9%85%DB%8C%D9%86%DA%AF-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D8%B1%D8%A7%DA%AF-rog-strix-g16-g614ji-i9-13980hx-rtx4070-140w-16g-1t-2023/
لپ تاپ اپل 16 اینچ مدل 2023 macbook pro m2 pro mnw83 ا macbook pro mnw83 2023 - m2 pro - 16gb - 512gb - 16 inch laptop,https://torob.com/p/c7fa42f6-454c-4512-b45a-9496ae12cd06/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-16-%D8%A7%DB%8C%D9%86%DA%86-%D9%85%D8%AF%D9%84-2023-macbook-pro-m2-pro-mnw83/
لپ تاپ  لنوو  ideapad 3 | 8gb ram | 1tb hdd | 256gb ssd | i3 1115g4 ا lenovo  ideapad 3,https://torob.com/p/523373bc-d3b4-4a55-89a4-a6b398dee922/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-3-8gb-ram-1tb-hdd-256gb-ssd-i3-1115g4/
لپ تاپ  ایسوس  r565jp  | 16gb ram | 1tb hdd | i7 1065g7 | vga mx330 2gb ا asus vivobook r565jp,https://torob.com/p/e6a90a63-bd19-4d36-a3f0-64f0d130de20/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-r565jp-16gb-ram-1tb-hdd-i7-1065g7-vga-mx330-2gb/
لپ تاپ ایسوس tuf gaming f15 fx506hc | 16gb ram | 512gb ssd | i5 | 4gb vga ا asus tuf gaming f15 fx506hc,https://torob.com/p/f194966b-95f1-4c60-a08d-a56cdede79e9/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-tuf-gaming-f15-fx506hc-16gb-ram-512gb-ssd-i5-4gb-vga/
لپ تاپ  مایکروسافت 16gb ram | 512gb ssd | 6g vga | i7 | surface book 2 ا microsoft surface book 2 | 15 inch | core i7 | 16gb | 512gb | 6gb,https://torob.com/p/897c0766-c947-450f-ba3c-cf5f0b3d4058/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D8%B3%D8%A7%D9%81%D8%AA-16gb-ram-512gb-ssd-6g-vga-i7-surface-book-2/
لپ تاپ لنوو lenovo ideapad gaming 3 پردازنده core i7 12700h رم 16gb حافظه 1tb+256gb ssd گرافیک 4gb rtx 3050ti – خاکستری ا lenovo ideapad gaming 3 i7 : 12700h - 16gb - 1tb+256gb ssd - 4gb rtx 3050ti,https://torob.com/p/b8d5091f-b1c0-41a0-91ea-52350922a139/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-lenovo-ideapad-gaming-3-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-core-i7-12700h-%D8%B1%D9%85-16gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-1tb%2B256gb-ssd-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9-4gb-rtx-3050ti-%D8%AE%D8%A7%DA%A9%D8%B3%D8%AA%D8%B1%DB%8C/
