Brand,Weight,CPU Series,CPU Model,Cache,RAM,Memory,Size,Stock_statu,Price
لنوو,2.25 کیلوگرم,Ryzen 5,Ryzen 5-5600H,,8GB,512GB,15.6 اینچ,0,از ۳۷٫۹۷۹٫۰۰۰ تومان
ایسوس,2.2,Core i7,,24MB,16GB,2TB,15.6,0,از ۷۴٫۴۷۹٫۰۰۰ تومان
,,,,,,,,1,۴٫۸۰۰٫۰۰۰ تومان
دل,1.8 کیلوگرم,Core i7,1255U,12 مگابایت,,512 گیگابایت,15.6 اینچ,0,از ۳۲٫۴۰۰٫۰۰۰ تومان
hp,2.29 کیلوگرم,Core i5,12500H,18 مگابایت,32 گیگابایت,,15.6 اینچ,0,از ۴۰٫۰۹۰٫۰۰۰ تومان
دل,3.25 kg,,Intel® Core™ i9 13900HK,24 MB Intel® Smart Cache,32GB DDR5 6000 MH,1TB SSD NVME,16 اینچ,0,۲۷۸٫۵۰۰٫۰۰۰ تومان
hp,1.77کیلوگرم,Core i7,8665u,8MB,,512GB,15.6 اینچ,0,از ۲۴٫۴۰۰٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,Core i7,1065G7,8 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۲۷٫۰۰۰٫۰۰۰ تومان
اپل,1.83 کیلوگرم,Core i9,9880H,16 مگابایت,,,15.4 اینچ,0,۵۵٫۳۰۰٫۰۰۰ تومان
ایسوس,1.8,Core i7,,8MB,16GB,,15.6,0,از ۲۹٫۰۹۹٫۰۰۰ تومان
hp,,corei5,8350U,6 مگابایت,8 گیگ,256 SSD,13 اینچ,1,از ۱۵٫۸۲۴٫۰۰۰ تومان
ایسوس,2Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,512GB,16 اینچ,0,از ۷۲٫۲۵۰٫۰۰۰ تومان
لنوو,1.8Kg,1135G7,Core i5,8 مگابایت,8GB,512GB,15.6 اینچ,0,از ۲۱٫۱۹۹٫۰۰۰ تومان
ایسوس,1.15Kg,5700U,Ryzen 7,8 مگابایت,8GB,1TB,15.6 اینچ,0,۳۶٫۱۰۰٫۰۰۰ تومان
hp,1.7Kg,i7,i7-7600U,4M,,256GB,,0,۲۴٫۴۵۵٫۲۱۴ تومان
ایسوس,1.8 کیلوگرم,Ryzen 5,5500U,8 مگابایت,,512 گیگابایت,15.6 اینچ,0,از ۲۲٫۵۹۹٫۰۰۰ تومان
لنوو,1.7,Core i5,,8MB,16GB,256GB,15.6,0,از ۲۳٫۳۰۰٫۰۰۰ تومان
ام اس آی,1.7Kg,1235U,Core i5,12 مگابایت,8GB,512GB,15.6 اینچ,0,۲۹٫۹۱۰٫۰۰۰ تومان
لنوو,2.2 کلیوگرم,Core i7,10510U,8 مگابایت,20 گیگابایت,,15.6 اینچ,0,از ۲۸٫۸۰۰٫۰۰۰ تومان
lenovo,,,,,,,,1,۸٫۰۷۰٫۰۰۰ تومان
لنوو,1.65KG,1215U,Core i3,10مگابایت,12GB,512GB,,0,از ۱۵٫۶۰۰٫۰۰۰ تومان
hp,,,,,,,15.6 اینچ,1,۱۶٫۵۰۰٫۰۰۰ تومان
asus,,,,,,,,0,۱۱۲٫۷۵۰٫۰۰۰ تومان
دل,,,,,,,,0,۱۲٫۸۰۰٫۰۰۰ تومان
مایکروسافت,1.5 کیلوگرم,,,,,,,0,۳۴٫۰۰۰٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,Core i7,1165G7,12 مگابایت,12 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۰٫۶۹۰٫۰۰۰ تومان
ایسوس,2.1 کیلوگرم,,i9-13900H,24 MB Intel® Smart Cache,16 گیگابایت,512 گیگابایت حافظه از نوع SSD NVMe,15.6 اینچ,0,۸۶٫۵۰۰٫۰۰۰ تومان
ایسوس,2.2,Core i9,,24MB,64GB,2TB,16.0,0,۳۲۴٫۹۷۹٫۰۰۰ تومان
دل,,,,,32GB DDR4,,,1,۳۲٫۵۰۰٫۰۰۰ تومان
دل,1.7 kg,,,4Mb,8g,,15.6 اینچ,1,۱۷٫۰۰۰٫۰۰۰ تومان
لنوو,1.6,Core i3,,10MB,8GB,512GB,15.6,0,از ۱۷٫۹۷۹٫۰۰۰ تومان
hp,,,I7 7200U,,8 گیگابایت,,12.3 اینچ,1,از ۱۴٫۹۵۰٫۰۰۰ تومان
دل,1.5 کیلوگرم,Core i7,1265U,12 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۷۹٫۵۴۹٫۰۰۰ تومان
,,,,,,,,0,۸۳٫۱۵۰٫۰۰۰ تومان
لنوو,1.7,Ryzen 5,5500U,8MB,8GB,1TB,,0,از ۱۸٫۳۸۹٫۰۰۰ تومان
لنوو,1.85,Ryzen 5,3500U,4MB,8GB,1TB HDD+128GB SSD,,0,از ۱۷٫۲۰۰٫۰۰۰ تومان
ام اس آی,2.2Kg,12650H,Core i7,24 MB,16GB,1TB,15.6 اینچ,0,از ۶۷٫۴۹۱٫۰۰۰ تومان
,,,,,,,,1,از ۱۹٫۵۰۰٫۰۰۰ تومان
ایسوس,2.2,Core i7,,24MB,32GB,1TB,15.6,0,از ۷۴٫۸۰۰٫۰۰۰ تومان
ام اس آی,3.1 kg,13950HX,Core i9,36 مگابایت,32GB,2TB,17 اینچ,0,از ۱۹۶٫۹۶۰٫۰۰۰ تومان
dell,,,,,,,,1,۱۳٫۵۰۰٫۰۰۰ تومان
lenovo,,,,,,,,1,۸٫۶۹۰٫۰۰۰ تومان
ایسوس,1.7 کیلوگرم,Core i5,,8 مگابایت,"8 گیگابایت, قابلیت ارتقاء تا 36 گیگابایت",,15.6 اینچ,0,۲۷٫۸۰۰٫۰۰۰ تومان
dell,2.53 کیلو گرم,Core i7,8850H,9 مگابایت,,,15.6 اینچ,1,از ۲۴٫۹۰۰٫۰۰۰ تومان
,2.3KG,Ryzen 5,5600H,,16 گیگابایت,512 گیگابایت,,0,از ۳۵٫۰۰۰٫۰۰۰ تومان
ایسوس,2.67 Kg (5.89 lbs),,AMD Ryzen™ 9 7945HX,L2 Cache 16MB L3 Cache 64MB COR16 THREAD 32,32 گیگابایت DDR5,1TB حافظه از نوع SSD NVMe,16اینچ,0,۳۱۹٫۳۰۰٫۰۰۰ تومان
دل,,,,,4 گیگابایت,HDD 500 GB,15.6 اینچ,1,۵٫۰۰۰٫۰۰۰ تومان
ایسوس,2.2,Core i5,,18MB,16GB,1TB,15.6,0,از ۳۵٫۷۷۰٫۰۰۰ تومان
مایکروسافت,,,,,,,,0,۱۸٫۸۱۰٫۰۰۰ تومان
hp,1.63 کیلوگرم,Core i7,8550U,8 MB,16GB,256GB,14 اینچ,0,۲۸٫۰۰۰٫۰۰۰ تومان
,"1.97 کیلوگ, رم",Ryzen 5,Ryzen 5 5600H,"16, مگابایت","8, گیگابایت","1, ترابایت",15.6 اینچ,0,۲۷٫۶۵۰٫۰۰۰ تومان
دل,,Core i7,9750H,,,,"16 اینچ, Retina",1,۷۳٫۰۰۰٫۰۰۰ تومان
لنوو,2.45 کیلوگرم,Ryzen 7,5800H,20 مگابایت,32 گیگابایت,1 ترابایت,16 اینچ,0,از ۵۷٫۱۳۰٫۰۰۰ تومان
ایسوس,,,,,,,,1,۴۶٫۳۰۰٫۰۰۰ تومان
asus,,,,,,,,0,از ۸۸٫۱۷۹٫۰۰۰ تومان
ایسوس,1.8,Core i3,,6MB,4GB,256GB,15.6,0,از ۱۵٫۳۰۰٫۰۰۰ تومان
دل,1.7Kg,7530U,Ryzen 5,16 مگابایت,16GB,512GB,15.6 اینچ,0,از ۳۰٫۷۴۵٫۰۰۰ تومان
لنوو,1.35 کیلوگرم,,8350U,6MB,,,14 اینچ,0,از ۱۱٫۰۰۰٫۰۰۰ تومان
لنوو,2.53,,Core i9 13900HX,,,,16.1,0,۹۳٫۲۴۰٫۰۰۰ تومان
دل,,Ryzen 5,5600H,,,,"15.6 اینچ, Full HD",1,۳۲٫۴۰۰٫۰۰۰ تومان
ایسوس,1.5 کیلوگرم,Core i3,10110U,4 مگابایت,,1 ترابایت,14.0 اینچ,0,از ۱۶٫۶۰۰٫۰۰۰ تومان
ایسوس,2.20,خیر,AMD Ryzen™ 7 7735HS,14 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۶۷٫۹۹۹٫۰۰۰ تومان
ایسوس,1.6,Ryzen 7,,16MB,16GB,512GB,15.6,0,از ۴۳٫۴۵۰٫۰۰۰ تومان
مایکروسافت,1.850 کیلوگرم,,,12 مگابایت,,,14.4 اینچ,0,۱۱۴٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3kg,12900H,Core i9,24 MB,32GB,2TB,15.6 اینچ,0,از ۱۴۱٫۹۷۰٫۰۰۰ تومان
ایسوس,1.8,Corei7,1065G7,12MB,16GB,1TB,,0,از ۲۸٫۰۹۰٫۰۰۰ تومان
lenovo,1.36 Kg,,,8Mb,16G,,14اینچ تاچ,0,۱۹٫۰۰۰٫۰۰۰ تومان
hp,,,,,,,,0,۳۷٫۰۰۰٫۰۰۰ تومان
hp,1.2 کیلوگرم,Core i7,1165G7,12 مگابایت,16 گیگابایت,512 گیگابایت,13.3 اینچ,0,از ۴۵٫۵۰۰٫۰۰۰ تومان
ایسوس,1.7 کیلوگرم,Core i3,1115G4,6 مگابایت,4 گیگابایت,,15.6 اینچ,0,از ۱۸٫۱۹۹٫۰۰۰ تومان
hp,,,,,,,,1,۱۵٫۸۵۰٫۰۰۰ تومان
hp,1.7 kg,,,8Mb,8g,,15.6 اینچ,1,۲۵٫۰۰۰٫۰۰۰ تومان
hp,,,,,,,,0,۱۱٫۶۰۰٫۰۰۰ تومان
اپل,1.4,,,,,,13.3,0,از ۹۳٫۰۰۰٫۰۰۰ تومان
اچ‌پی,2.2,Core i7,,24MB,16GB,1TB,15.6,0,از ۴۹٫۹۹۰٫۰۰۰ تومان
,,Intel® Core™ i7,7700HQ,6MB,16GB,,IPS 14 اینچ,1,۳۰٫۰۰۰٫۰۰۰ تومان
دل,,,,,,,,0,از ۵۹٫۹۰۰٫۰۰۰ تومان
ایسوس,2.6,Corei7,12700H,24MB,32GB,1TB,,0,از ۵۳٫۴۷۰٫۰۰۰ تومان
لنوو,1.7Kg,10210U,Core i5,6 مگابایت,20GB,1TB,15.6 اینچ,0,از ۲۱٫۶۹۰٫۰۰۰ تومان
ایسوس,1.70,Ryzen 5,,8MB,,,15.6,0,از ۲۹٫۵۰۰٫۰۰۰ تومان
دل,۱.۵۱ کیلوگرم,,,,۸ گیگابایت,,۱۵.۳ اینچ,0,از ۷۲٫۵۰۰٫۰۰۰ تومان
hp,,,,,16 گیگابایت,,,1,از ۲۲٫۴۵۰٫۰۰۰ تومان
ایسوس,2.3,Corei5,10300H,8MB,16GB,1TB HDD+512GB SSD,,0,از ۳۵٫۲۰۰٫۰۰۰ تومان
hp,2.2 کیلوگرم,Core i5,,12 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۳۴٫۱۶۰٫۰۰۰ تومان
ایسوس,2.6 کیلوگرم,Core i7,12700H,24 مگابایت,16 گیگابایت,1 ترابایت,17.3 اینچ,0,از ۶۱٫۸۹۰٫۰۰۰ تومان
,,,,,819 MB,,13 اینچ,1,۶٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3kg,6800H,Ryzen 7,16 مگابایت,16GB,512GB,15.6 اینچ,0,از ۴۸٫۶۹۵٫۰۰۰ تومان
ایسوس,1.8Kg,1065G7,Core i7,8 مگابایت,8GB,1TB,15.6 اینچ,0,از ۲۷٫۲۰۰٫۰۰۰ تومان
لنوو,2.4,Core i7,,24MB,32GB,1TB,15.6,0,از ۶۳٫۸۲۷٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,Core i7,,12 مگابایت,24 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۳۷٫۰۰۰٫۰۰۰ تومان
دل,1.35 کيلوگرم,Core i5,,,,,,0,از ۱۹٫۹۰۰٫۰۰۰ تومان
مایکروسافت,1.7 کیلوگرم,Core i5,11300H,8 مگابایت,16 گیگابایت,512 گیگابایت,14.4 اینچ,0,از ۷۷٫۰۰۰٫۰۰۰ تومان
مایکروسافت,,,,,,,,1,۲۲٫۰۰۰٫۰۰۰ تومان
دل,2.2 کیلوگرم,Core i7,12700H,24 مگابایت,16 گیگابایت,1 ترابایت,16 اینچ,0,از ۸۷٫۹۰۰٫۰۰۰ تومان
,,,,,,,,1,۲۵٫۱۰۰٫۰۰۰ تومان
hp,2.3,Core i7,,24MB,16GB,1TB,16.1,0,از ۵۷٫۳۲۰٫۰۰۰ تومان
hp,تقریبا 2.5 کیلوگرم,Core i7,4810 MQ,6 مگابايت,,,15.6 اینچ,1,از ۱۲٫۰۰۰٫۰۰۰ تومان
hp,,,,,,,,0,۱۴٫۰۰۰٫۰۰۰ تومان
ایسر,2.98,Corei5,12500H,18MB,8GB,512GB,,0,از ۳۹٫۸۹۲٫۰۰۰ تومان
ایسوس,1.7 کیلوگرم,Core i3,,10 مگابایت,8 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۲۰٫۲۷۹٫۰۰۰ تومان
hp,1480 g,6200U,core i5,,8 گیگابایت,256 گیگابایت,14 اینچ,0,۱۰٫۵۰۰٫۰۰۰ تومان
مایکروسافت,1.288 کیلوگرم,Core i5,1035G7,6مگابایت,,,13.5 اینچ,0,۴۵٫۰۰۰٫۰۰۰ تومان
asus,,1165G7,Core i7,12 مگابایت,16GB,512GB,14 اینچ,0,از ۴۵٫۳۰۰٫۰۰۰ تومان
دل,2.1 کيلوگرم,,,,,,15.6اینچ,1,۱۶٫۵۰۰٫۰۰۰ تومان
ایسوس,1.8,Celeron,N4020,4MB,4GB,1TB,,0,از ۱۴٫۳۵۰٫۰۰۰ تومان
ایسوس,2.3,Core i9,,24MB,32GB,1TB,15.6,0,از ۷۹٫۸۷۹٫۰۰۰ تومان
