Brand,Weight,CPU Series,CPU Model,Cache,RAM,Memory,Size,Stock_statu,Price
ایسوس,2.3kg,6900HX,Ryzen 9,16 مگابایت,16GB,1TB,17.3 اینچ,0,از ۶۳٫۰۰۰٫۰۰۰ تومان
,,,,,,,,0,از ۸۴٫۰۰۰٫۰۰۰ تومان
hp,2.2,Core i7,,24MB,16GB,512GB,15.6,0,از ۴۱٫۹۰۰٫۰۰۰ تومان
ایسوس,2.4Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,1TB,16 اینچ,0,از ۶۸٫۸۰۰٫۰۰۰ تومان
hp,1.90 کیلو گرم,core i7,,4 مگابایت,,,15.6 اینچ /فول اچ دی / IPS,0,از ۱۸٫۹۰۰٫۰۰۰ تومان
hp,2 کیلوگرم,,Ryzen 5 5600H,16 مگابایت,,512 گیگابابت,15.6 اینچ,0,از ۳۰٫۲۰۰٫۰۰۰ تومان
ایسوس,1.8,Ryzen 7,,16MB,16GB,512GB,16.0,0,از ۳۲٫۴۰۰٫۰۰۰ تومان
دل,"3,19 kg",Core i۹,Intel Core i9-13950HX,36 مگابایت کش,32GB DDR5 5600MHZ,2 ترابایت NVMe,18 اینچ,0,۳۲۸٫۸۰۰٫۰۰۰ تومان
دل,1.38 کیلوگرم,11th Gen Intel Core,,,8 گیگابایت,512 گیگابایت,14 اینچ,0,از ۲۲٫۰۰۰٫۰۰۰ تومان
ایسوس,1.30 کیلوگرم,Ryzen 6000,Ryzen 9-6900HS,,16GB,1TB,13.4 اینچ,0,از ۶۹٫۵۹۰٫۰۰۰ تومان
hp,2.29 کیلوگرم,Core i5,12450H,12MB cache,,512GB SSD,15.6 اینچ,0,از ۳۴٫۱۵۰٫۰۰۰ تومان
دل,1.576 کیلوگرم,Core i5,Intel Core i5-6300U,3MB,,,13.5 اینچ,0,از ۱۷٫۵۰۰٫۰۰۰ تومان
ایسوس,1.8 کیلوگرم,,,4 مگابایت,4 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۱۱٫۹۵۰٫۰۰۰ تومان
ایسوس,1.8,Corei7,1065G7,12MB,8GB,1TB,,0,از ۲۷٫۰۰۰٫۰۰۰ تومان
hp,1.5Kg,1255U,Core i7,12 مگابایت,16GB,1TB,14 اینچ,0,از ۵۲٫۳۷۰٫۰۰۰ تومان
hp,1.1,,Core i7,,16 گیگابایت,512 گیگابایت,13.5 اینچ,1,۱۷٫۵۰۰٫۰۰۰ تومان
لنوو,2.6,Core i7,,24MB,16GB,1TB,16.0,0,از ۴۲٫۰۰۰٫۰۰۰ تومان
دل,1.24 کیلوگرم,Apple M2,M2,20 مگابایت,8 گیگابایت,512 گیگابایت,13.6 اینچ,0,از ۶۹٫۷۹۹٫۰۰۰ تومان
ایسوس,2.67,Ryzen 9,,64MB,64GB,4TB,16.0,0,۳۴۴٫۹۷۹٫۰۰۰ تومان
ایسوس,2Kg,12650H,Core i7,24 مگابایت حافظه کش,16GB,1TB,15.6 اینچ,0,از ۵۵٫۳۰۰٫۰۰۰ تومان
دل,1.8کیلوگرم,Core i7,6600u,4MB,,256GB,14 اینچ,1,از ۹٫۰۰۰٫۰۰۰ تومان
مایکروسافت,1.11 کیلوگرم,Core i5,1035G1,6 مگابایت,,128 گیگابایت,12.4 اینچ,0,از ۲۰٫۶۰۰٫۰۰۰ تومان
مک بوک پرو,1.4 کیلوگرم,Apple M1,M1,12 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۵۷٫۵۰۰٫۰۰۰ تومان
دل,2.15 کیلوگرم,Apple M2 Pro,,,16 گیگابایت,1 ترابایت,16.2 اینچ,0,از ۱۲۴٫۵۰۰٫۰۰۰ تومان
لنوو,2.4,Ryzen 5,5600H,16MB,8GB,512GB,,0,از ۳۹٫۵۹۹٫۰۰۰ تومان
مک بوک پرو,,M2 Chipset,Apple M2 Max,12 مگابایت,96 گیگابایت,1 ترابایت,16.2 اینچ,0,از ۲۲۱٫۹۰۰٫۰۰۰ تومان
ایسوس,2.0,Core i5,,12MB,8GB,512GB,15.6,0,از ۳۹٫۴۰۰٫۰۰۰ تومان
لنوو,1.7,Celeron,,4MB,4GB,,15.6,0,از ۹٫۷۳۰٫۰۰۰ تومان
مایکروسافت,1.92,Core i7,,8MB,,,15.0,0,از ۳۱٫۰۰۰٫۰۰۰ تومان
دل,1.37کیلوگرم,Core i5,Intel Core i5 quad-core Coffee Lake (8279U),6 مگابایت,8 گیگابایت,512 گیگابایت,13.3 اینچ,0,۲۵٫۹۰۰٫۰۰۰ تومان
لنوو,1.7 کیلوگرم,11th Gen\Tiger Lake,Core i3-1115G4,,4GB,256GB,15.6 اینچ,0,از ۱۴٫۹۵۰٫۰۰۰ تومان
ایسوس,1.11 کیلوگرم,11th Gen\Tiger Lake,Core i5-1135G7,,8GB,512GB,13.3 اینچ,0,از ۳۸٫۲۰۰٫۰۰۰ تومان
hp,2.2,Core i5,,18MB,32GB,1TB,15.6,0,از ۳۷٫۰۶۹٫۰۰۰ تومان
hp,2.3 کیلوگرم,,11800H-i7,24 مگابایت,,1 ترابایت SSD NVMe,16 اینچ,0,از ۶۵٫۳۰۰٫۰۰۰ تومان
lenovo,1.850 کیلوگرم,,,,,,14 اینچ,1,۲۸٫۹۰۰٫۰۰۰ تومان
ایسوس,2.9,Ryzen 9,,16MB,16GB,1TB,17.3,0,از ۸۲٫۰۰۰٫۰۰۰ تومان
ایسوس,2.3kg,5800H,Ryzen 7,16 مگابایت,16GB,1TB,15.6 اینچ,0,از ۶۴٫۷۸۲٫۰۰۰ تومان
ایسوس,1.18kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,512GB,13.4 اینچ,0,از ۶۹٫۰۰۰٫۰۰۰ تومان
ایسوس,1.7,Core i5,,12MB,8GB,512GB,15.6,0,از ۲۷٫۰۰۰٫۰۰۰ تومان
ایسوس,2Kg,12650H,Core i7,24 مگابایت حافظه کش,16GB,1TB,15.6 اینچ,0,از ۴۶٫۴۷۹٫۰۰۰ تومان
دل,1.86 کیلوگرم,12th Gen\Alder Lake,Core i5-12450H,,8GB,512GB,15.6 اینچ,0,از ۴۹٫۷۰۰٫۰۰۰ تومان
msi,2.25 کیلوگرم,Core i7,13620H,24 مگابایت,16 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۷۸٫۰۰۰٫۰۰۰ تومان
لنوو,2.25 کیلوگرم,Core i7,12650H,24 مگابایت,16 گیگابایت,512 گیگابایت,15.6 اینچ,0,از ۴۵٫۸۸۰٫۰۰۰ تومان
ایسوس,2.3,Core i9,,24MB,32GB,1TB,15.6,0,از ۱۳۶٫۲۵۰٫۰۰۰ تومان
hp,1.74,RYZEN5,,8MB,8GB,,15.6,0,از ۱۷٫۹۷۰٫۰۰۰ تومان
ایسوس,2.2,Ryzen 7,,20MB,16GB,1TB,15.6,0,از ۴۸٫۹۷۰٫۰۰۰ تومان
msi,1.9Kg,12650H,Core i7,24 MB,16GB,512GB,15.6 اینچ,0,از ۵۸٫۹۰۰٫۰۰۰ تومان
لنوو,2.4,Ryzen 7,,16MB,16GB,,15.6,0,از ۴۰٫۱۸۹٫۰۰۰ تومان
ایسوس,1.8Kg,12700H,Core i7,24 مگابایت حافظه کش,16GB,1TB,15.6 اینچ,0,از ۵۸٫۲۹۸٫۰۰۰ تومان
